,CD14+ Monocytes,CD4 T cells,Dendritic cells,NK cells,B cells,Megakaryocytes,FCGR3A+ Monocytes
ISG15,8.81 (p=0.0e+00),6.59 (p=0.0e+00),8.46 (p=5.0e-20),6.19 (p=0.0e+00),7.27 (p=0.0e+00),6.80 (p=9.5e-44),7.24 (p=2.4e-184)
IFI6,5.33 (p=0.0e+00),7.00 (p=0.0e+00),7.06 (p=5.4e-20),6.74 (p=0.0e+00),7.04 (p=0.0e+00),6.53 (p=1.5e-33),4.56 (p=1.8e-171)
MX1,6.30 (p=0.0e+00),5.58 (p=0.0e+00),5.51 (p=5.9e-20),5.56 (p=3.3e-289),5.87 (p=1.1e-278),6.28 (p=1.1e-26),5.45 (p=5.8e-158)
OAS1,5.36 (p=0.0e+00),5.63 (p=0.0e+00),6.40 (p=7.8e-19),5.46 (p=2.6e-182),5.12 (p=5.0e-121),5.38 (p=2.0e-13),3.07 (p=2.3e-122)
IFIT1,8.84 (p=0.0e+00),7.98 (p=0.0e+00),7.65 (p=7.7e-18),7.00 (p=0.0e+00),7.85 (p=4.1e-295),6.48 (p=4.5e-31),7.90 (p=4.5e-182)
IFIT3,8.30 (p=0.0e+00),8.38 (p=0.0e+00),8.28 (p=6.6e-20),6.88 (p=0.0e+00),8.28 (p=0.0e+00),6.27 (p=8.6e-28),5.77 (p=6.8e-178)
STAT1,2.00 (p=1.6e-89),4.32 (p=1.2e-186),2.96 (p=1.1e-06),3.71 (p=1.8e-17),3.07 (p=1.3e-26),3.62 (p=7.6e-06),1.14 (p=3.8e-07)
IRF7,3.77 (p=0.0e+00),3.92 (p=0.0e+00),2.93 (p=7.8e-12),3.93 (p=6.2e-151),4.62 (p=1.4e-210),4.28 (p=1.8e-10),3.81 (p=3.3e-150)
IFITM3,6.48 (p=0.0e+00),4.46 (p=9.8e-114),7.31 (p=2.5e-14),4.26 (p=6.2e-59),6.09 (p=9.1e-70),3.49 (p=7.1e-04),4.34 (p=8.1e-181)
RSAD2,8.56 (p=0.0e+00),7.08 (p=0.0e+00),8.26 (p=2.1e-16),5.66 (p=1.4e-92),7.27 (p=8.6e-63),5.25 (p=1.5e-07),6.33 (p=5.8e-158)
